标志,ID,人物,内容,跳转
@,1, ,冬天，这个曾经充满活力的季节，现在却成了我蜷缩在床的温暖角落的理由。,2
@,2, ,我怀念那年轻时的冬日的自己，总是忙碌着，充满活力。,3
@,3, ,但现在，我只能感受到岁月在我身体里留下的痕迹，它们告诉我，我已经不再是那个可以无视季节变化的人了。,4
@,4,老人,冬天就适合抱着一床被子裹成一团在床上睡觉……,5
@,5,老人,也许我真的老了吧……以前这个时候我还能干点什么事情，现在我却只想要躺在床上。,6
@,6, ,困意阵阵袭来，我眯起眼睛看了一眼手表，,7
@,7, ,感受到睡意和茶几上那热茶上的雾气一般袅袅升起，又和睡梦一般破碎成无数颗细小的水滴。,8
@,8, ,（坐下）（回到床上）（看了一眼手机）（闭上了眼睛）,9
@,9, ,【手机屏幕：评论区：梦里一切都会好起来的。】,10
@,10, ,叹了口气，回想起过去，我感到一种深深的失落，我好像忘记了很多东西。,11
@,11, ,那些我曾经珍视的记忆，现在却像被风吹散的尘埃，散落在回忆深处。,12
@,12,老人,梦是真的吗？我所记得的真的是真的吗？,13
@,13,老人,过去的人，过去的事……我还记得多少？,14
@,14,老人,我想拾起来，拾起那些遗忘的记忆。,15
@,15,老人,我……,16
@,16, ,呼吸声渐渐平稳，房间内的一切似乎都陷入了宁静的沉睡，再度沉寂下来。,17
end,17,,,
