标志,ID,人物,内容,跳转
@,1, ,然而，秋天的到来，带来了一丝凉意。,2
@,2, ,在毕业季后一个不经意的话题上，我们开始为了未来的方向而获得争执，理想与现实的碰撞，让伊甸园的根基开始了松动。,3
@,3, ,为什么我们一定要为了工作勉强自己呢？我们活着不是要让自己活得开心吗？这是她的原话。,4
@,4,老人,人很多时候身不由己啊，都得生存下去啊......,5
@,5,老人,生存下去才有本钱能够快乐，连生存都做不到，谈何快乐呢？,6
@,6, ,......,7
@,7, ,（长久的沉默）,8
@,8, ,我们试图修补，却发现有些东西，一旦破碎，就难以复原。,9
@,9, ,从不知何时开始，我们的对话，变得小心翼翼，生怕触碰到那些敏感的话题。,10
@,10, ,终于，在一个寒冷的夜晚，我们选择了放手。,11
@,11, ,失恋的痛苦，如同冬日的寒风，刺骨而深刻。,12
@,12,老人,我到底哪里做错了......不应该是这样的......,13
@,13, ,我逐渐在网吧中沉沦里徘徊，书中的文字变得模糊，我的心，也变得空洞。,14
@,14, ,而她？我并不知道。,15
@,15, ,或许是在则在河畔的长椅上，静静地看着水面，泪水悄然滑落，,16
@,16, ,或许是在安静的阅览室里，翻看着一本本书籍，无言叹息，,17
@,17, ,或许，这一切只是我想多了。我们的爱情，如同那些飘落的雪花，美丽而短暂。,18
@,18, ,在岁月的长河中，这一段恋情，如同那些飘落的花瓣，虽然短暂，却曾经绚烂，永远留在了记忆的深处。,19
@,19, ,而内心的抽痛，也无事不刻都在提醒着这些事情曾经发生过，并不是自己臆想。,20
end,20,,,
