标志,ID,人物,内容,跳转
@,1, ,回忆，它们如同那些精致的玻璃制品，美丽而脆弱。在时间的触摸下，它们似乎像泡影一样容易破碎。,2
@,2, ,那洁白的雪海燕，它振翅高飞，划过天际，却又在高空坠落，消失在厚重的云层之中，无迹可寻。,3
@,3, ,留下的，只有那几根洁白的翎羽，说明它曾经来过。,4
@,4, ,“好厉害啊，这么会玩弹珠啊！”,5
@,5, ,那是我们第一次见面的情景，他站在我的身后，目光中充满了惊讶，看着我独自一人沉浸在弹珠游戏的世界里。,6
@,6, ,“交个朋友，可以吗？”他蹲在我身边，脸上带着笑嘻嘻的表情，从口袋里掏出几颗弹珠，在手中随意地把玩着。,7
@,7, ,好啊。”我有些惊讶地看着他，但随即也露出了笑容。,8
@,8, ,后来，他拿出了好多东西和我一起玩，旧式的红白机，打果子的弹弓，积木什么的，虽然过去了许久，却还是能够想起当时玩这些玩具的开心。,9
@,9, ,在那些无忧无虑的日子里，我们尽情地玩，尽情地笑，虽然岁月流转，这段记忆模糊过，但它从未消失，它始终在我的记忆中，永远永远。,10
@,10, ,"""你为什么你不去上学啊？""我有些好奇地看向蹲在我一旁玩弹弓的他，问道。",11
@,11, ,他沉默了一会，嘴角勾起了一丝弧度，"我要去一个很远很远的地方噢，现在在家里收拾行李，所以不用去上学哦。",12
@,12, ,"""诶，你要出远门了吗？那是不是以后就不能和你玩了啊……""我略带哭腔地看向他，眼眶有些湿润，眼神里满是惊慌，至少我是这么觉得的。",13
@,13, ,"""......""他苦笑了一下，没有看我，将实现转向了蔚蓝的天空。",14
@,14, ,"""你知道吗，那边有一种鸟，叫雪燕鸟，我只是去收集它们的羽毛，收集到了就回来了。""",15
@,15, ,"""洁白的羽毛，看着就像是神使留下来的呢......""",16
@,16, ,......,17
@,17, ,再后来，在一次告别之后，我彻底的失去了他的音讯。,18
@,18, ,不知道过了多久，不知道是以什么样的方式。,19
@,19, ,雪白的翎羽被送到这来，像是在告诉我，他来过，他走了。,20
end,20,,,
