物品,介绍,对话
儿童-海报,一张老旧的海报，上面是那个年代知名女星的剪影，给人一种充满亲和力的感觉。,
,她的歌在那个时代席卷全国，无数人为她的歌喉尖叫，她的样子几乎家喻户晓...,
儿童-衣架-Bag,满载回忆的背包...里面放着各种从周遭收集的小东西。,
,,让我想起了当时跟朋友在外玩耍的日子。
,,一直都破破烂烂的，居然支撑我走过了我小学那几年，里面能放的东西可不少
儿童-唱片机record0,小时候的唱片机，但是唱片不知所踪。,
,,不知什么时候买的，自我记事起，这个老旧的唱片机伴随了我整个童年
,,在那个时候供电也没有普及，依靠的是手摇，声音忽高忽低...某种程度上是一种独特的体验啊。
儿童-TV上层,那个年代的产物，信号很不稳定。,
,,当时合资买的电视机，总是有许多孩子跑来看电视。
,,想起来当时还会经常冒出“雪花”，信号差的什么也看不了......
儿童-日记,,当时的我会在日记里面写下什么呢......
儿童-打开的日记,"年月*日 星期* 阴
今天在土路上玩弹珠，**说想和我玩，交个朋友。我说好。我们轮流弹弹珠，有时候我的弹珠没打中他的，**就会笑。最后，我赢了，**也很开心。
年月*日 星期* 晴
今天，我和**在院子里玩弹珠。在地上画了个quan，看谁的弹珠先把对方弹珠打出quan。我用的是爸爸给我的旧弹珠，看着有点发黄。**的弹珠是新的，很亮。
年月*日 星期* 晴
今天还是和**玩弹珠，有几个小hai也过来看，**说我打弹珠的jishu是他见过最好的。好开心。
年月*日 星期* 多云
**拿了个游戏机过来诶。好厉害啊，是没有见过的东西呢。还会发出声音，吓我一跳。
年月*日 星期* 雨
**说那个叫做鹅螺蛳方块，好好玩。
年月*日 星期* 雨
我们一起搭积木，**说要搭一个高楼，这样在上面就可以看到好多东西了。
年月*日 星期* 多云
**没有来……
年月*日 星期* 晴
**还是没有来……
年月*日 星期* 多云
**来了，看起来不太舒服的样子，是生病了吗。",
,,
儿童-玩具箱,里面装了什么呢，叮叮当当的，多半是玩具吧？,
,,封的这么严实干什么...
儿童-唱片机record1,唱片并没有像你想的那样发出美妙的音乐，但是你回忆里莫名出现了一段熟悉的旋律。,
,"“蔚蔚蓝天，白鸟高歌......”
我总是坐在地上，忘神地唱啊唱。在我们的时代里，家里拥有唱片机是一件非常值得骄傲的事情。
每次唱着唱着，都会在中途混入一段和声。
是谁呢？每日坐在我的身侧，跟我一起歌唱蓝天，歌唱白鸟，歌唱世界。
那个人......他说自己会变成自由的雪燕鸟。",
儿童-雪燕鸟羽毛,洁白，神圣，不沾有一点污秽......,
,,为什么这么绝美的翎羽会在我家里？好漂亮……
儿童-收音机上层,收音机里放的是小时候熟悉的声音，似乎夹杂着邀请伙伴来到家里的时候的欢笑声……,
,,伙伴？我有朋友吗？是谁来着……
,,小时候的我没有什么朋友，除去玩弹珠的时候是个“常胜将军”，也有人愿意和我一起玩，但是小时候孤僻的性格终究还是让自己逐渐远离人群。
儿童-收音机下层,放着一个密码箱……不知道密码在哪里，先四处找找吧。,
儿童-糖果,甜甜的，是小时候最喜欢的味道。,
,甜甜的味道刺激着味蕾。,
儿童-游戏机主体,,熟悉的样式，好怀念当时的快乐啊……当时和他一起玩着游戏机的快乐好像还在今天……
儿童-红白机手柄,旧时代的产物了，看着很有怀旧的味道。,
,,咦，怎么没有插上？
儿童-积木,感觉应该放在“塔顶”的，为什么会在这里呢……,
Box,随着你了解的越多，这条缝隙似乎越来越大了......,
青少年-door,透明的玻璃门，似乎将光怪陆离的网络世界与外界隔离了。,
青少年-前台,本应该有人在这的，怎么会没人呢。,
,空无一人的前台。,
,嘈杂的网吧意外的安静。,
,泰豪辣，是无人售票，我们有救啦。,
饮料框,一框框的苏打气泡水在里面站着，瓶子里不停地冒着气泡。,
,气泡像是在欢悦地欢迎着每个来到网吧的人,
饮料柜,通电的饮料柜，里面放着很多新奇的饮料。,
,,感觉其实没有看起来那么好喝。
学生储物柜,放学生东西的储物柜，好像她？的柜子，好像也在这里？,
学生储物柜(打开),,是我买的小熊，给她买的生日礼物……上面还留着她的香气。
海报,摇滚乐队“coin”最新的海报，炫酷的赛博风格给人一种独特的体验。,
,It's True Music！,
,摇滚乐队的成员在海报上比着炫酷的姿势--“要组一辈子的乐队吗”,
窗户,看不清楚外面的景色。,
,,上课就不应该看窗户
书桌1,略显杂乱的书桌，桌子上留下了学习生活的痕迹。,
,,好怀念我的书桌啊
耳机,留着熟悉的歌曲，好熟悉的声音……,
,,是她给我唱的……是为了什么呢……
书桌2,整洁的书桌，好像是她的座位。,
,,她......好吧......
蝴蝶结,曾经亲手帮她戴上的东西，现在还是记忆中的颜色。,
,,没有褪色的感觉呢......如果时光也能静止就好了
