标志,ID,人物,内容,跳转
@,1,zi,oh kanade you will die,2
#,2,kanade,haha zi you win,3
#,3,kanade,but mika will always be mine,4
@,4,zi,fuck,5
@,5,zi,i will take mika back to sensei,6
#,6,kanade,no my girl,7
#,7,kanade,you can't,8
#,8,kanade,because sensei is mine,9
@,9,zi,oh my dear ,10
@,10,zi,i don't think you are sure about what you are fucking talking,11
#,11,kanade,i am sure,12
#,12,kanade,sensei is always here,13
#,13,kanade,in my bedroom,14
#,14,kanade,byebye,15
@,15,zi,fuck .sensei will be in my room,16
end,16,,,
